Date,Country,Lake Name,Total Concentration Cyanobacterial Hepatotoxins (ug/L),Total Concentration Photosynthetic Pigments (ug/L),Latitude,Longitude,Maximum Lake Depth (m),Mean Depth Lake (m),Lake Surface Temperature (C),Epilimnetic Temperature (C),Phosphate Concentration (mg/L),Nitrogen Concentration (mg/L),Concentration of Nitrates and Nitrites (mg/L),Concentration of Ammonia (mg/L),Concentration of Ortho-phosphate (ug/L),Concentration of Chlorophyll-a (ug/L),Concentration of Chlorophyll-b (ug/L),Concentration of Zeaxanthin (ug/L),Concentration of Alloxanthin (ug/L),Concentration of Chlorophyll-c2 (ug/L),Concentration of Microcystin YR (ug/L),Concentration of Microcystin dmLR (ug/L),Concentration of Microcystin LR (ug/L)
2015-07-13,Sweden,Vallentunasjon,0.038181,14.296800000000003,59.50832,18.0448,5.0,3.0,18.92,18.8,0.08,0.6,0.008,0.07,9.346,55.71,10.447,3.588,0.803,0.936,0.0,0.0173,0.0984
2015-08-26,Denmark,Fure,0.044451000000000004,16.991200000000003,55.81305556,12.44313889,38.0,13.5,18.7,18.7,0.11,0.4,0.008,0.06,10.658,80.107,1.593,0.0,0.752,2.504,0.061,0.0067,0.067
2015-07-23,Spain,Laguna Honda,0.048873,29.6654,36.75555,-2.9464,3.0,1.1,31.8,31.23,0.08,3.9,0.025,0.32,28.182,103.453,38.876,1.591,4.407,0.0,0.018,0.0,0.1301
2015-08-20,Sweden,Malaren Ekoln,0.061908000000000005,4.2704,59.73298,17.547852,50.0,22.0,20.43,18.96,0.05,0.6,0.347,0.02,10.817,18.036,1.37,1.706,0.0,0.24,0.046,0.1287,0.0129
2015-08-20,Poland,Tyniec_1,0.070026,6.8252,50.02986111,19.82761111,3.0,2.5,22.8,22.31,0.09,2.0,0.053,0.21,16.935,27.269,4.36,0.784,0.599,1.114,0.046,0.0068,0.1594
2015-08-11,Turkey,Eymir,0.08827499999999999,0.6944,39.82583333,32.8325,4.0,1.62,26.55,25.72,0.04,1.1,0.007,0.05,28.774,2.597,0.0,0.875,0.0,0.0,0.013,0.0075,0.247
2015-09-07,Spain,Valdecanas,0.112167,12.147000000000002,39.77873333,-5.6054,80.0,19.81,25.24,24.34,0.03,1.3,0.763,0.02,7.775,58.93,0.0,0.894,0.599,0.312,0.007,0.0125,0.3204
2015-07-22,Poland,Tomaszne,0.11853599999999999,12.662,51.46658333,23.00238889,3.0,2.4,23.5,23.2,0.17,0.9,0.008,0.03,6.215,57.397,2.716,0.683,0.78,1.734,0.061,0.2266,0.0716
2015-08-01,Lithouania,Mastis,0.158202,24.4872,55.97755556,22.24886111,5.0,2.6,17.6,17.83,0.16,0.7,0.018,0.19,32.338,112.696,5.406,2.354,0.619,1.361,0.041,0.0669,0.3715
2015-07-22,Poland,Biale Sosnowickie,0.17688,31.410800000000002,51.53272222,23.0425,3.0,1.3,24.0,23.95,0.21,1.8,0.013,0.05,11.613,119.585,25.539,10.377,1.553,0.0,0.066,0.0372,0.4328
2015-08-12,Lithouania,Gineitiskes,0.20064,22.820000000000004,54.73747222,25.18572222,3.0,1.5,25.4,24.85,0.06,0.9,0.007,0.02,5.33,102.289,4.806,3.596,0.863,2.546,0.038,0.1716,0.3984
2015-07-10,Sweden,Limmaren,0.25502400000000003,5.893800000000001,59.73056667,18.73476667,8.0,4.6,18.91,18.86,0.05,0.9,0.005,0.15,8.909,28.663,0.0,0.0,0.259,0.547,0.099,0.0369,0.6369
2015-09-06,Macedonia,Dojran,0.610071,2.4578000000000007,41.19861111,22.73333333,8.0,3.0,28.8,27.43,0.05,1.6,0.019,0.16,13.618,10.352,1.262,0.675,0.0,0.0,0.058,0.0573,1.7334
2015-08-02,Poland,Rogozinskie,1.101342,21.538,52.750756,17.007086,6.0,3.0,24.1,22.86,0.08,2.4,0.015,0.04,14.648,99.435,2.259,4.871,0.676,0.449,1.385,1.9524,0.0
2015-08-20,Poland,Tyniec_2,1.6721430000000002,11.936600000000002,50.02447222,19.81325,2.0,1.6,22.03,21.69,0.06,1.3,0.024,0.26,10.26,50.481,6.4,1.862,0.665,0.275,1.012,0.0871,3.968
