,Lake Name,Country,Concentration of total phosphorus (mgL),Concentration of cyanobacterial hepatotoxin microcystin YR (ugL),Concentration of cyanobacterial hepatotoxin microcystin dmRR (ugL),Concentration of cyanobacterial hepatotoxin microcystin RR (ugL),Concentration of cyanobacterial hepatotoxin microcystin dmLR (ugL),Concentration of cyanobacterial hepatotoxin microcystin LR (ugL)
23,Hamry,Czech Republic,0.08,0.002,0.0,0.0469,0.0028,0.0169
110,Montcortes,Spain,0.08,0.002,0.0,0.0,0.0,0.0
115,Sobron Resrbvoir,Spain,0.08,0.0,0.0,0.0,0.0,0.0
276,Miranda,Portugal,0.08,0.0,0.0,0.0,0.0,0.0
125,Muuratjarvi,Finland,0.08,0.0,0.0,0.0,0.0,0.0
36,Dagowsee,Germany,0.08,0.018,0.3308,0.0,0.0521,0.0
235,Nidzkie,Poland,0.08,1.407,2.4491,0.0,1.33,0.0369
366,Neagh,UK,0.08,2.59,6.5903,0.0,2.8946,0.0756
334,Kovada,Turkey,0.08,0.094,0.0446,1.0283,0.0523,1.3254
42,Kleiner Wentowsee,Germany,0.08,0.002,0.0,0.0946,0.0,0.0262
318,Cernek,Turkey,0.08,0.059,0.0,0.2744,0.0094,0.2406
54,Scharmutzelsee,Germany,0.08,0.0,0.0,0.0,0.0027,0.0
14,Sopen,Switzerland,0.09,0.04,0.0725,0.0,0.1148,0.0148
2,Bret,Switzerland,0.09,0.002,0.0,0.0,0.0027,0.0042
280,Serra Serrada,Portugal,0.09,0.0,0.0,0.0,0.0,0.0
242,Probarskie,Poland,0.09,0.0,0.0,0.0,0.0,0.0
73,Slaen,Denmark,0.09,0.002,0.0,0.0,0.0066,0.0
186,Koningshoeve,Netherlands,0.09,0.002,0.0,0.0,0.0,0.0269
262,Tyniec_1,Poland,0.09,0.046,0.0,0.0,0.0068,0.1594
89,Baxe reservoir,Spain,0.09,0.0,0.0,0.0,0.0028,0.0086
336,Karamik,Turkey,0.1,0.0,0.0,0.0,0.0,0.0
204,Tunevannet,Norway,0.1,0.009,0.085,0.3229,0.022,0.0543
350,Seydi,Turkey,0.1,0.0,0.0,0.0,0.0,0.0
44,LangerSee,Germany,0.1,0.009,0.1884,0.0,0.0202,0.0
91,Branas,Spain,0.1,0.0,0.0,0.0,0.0,0.0
246,Ros,Poland,0.1,0.0,0.0,0.0,0.0,0.0
45,Muggelsee,Germany,0.1,0.002,0.0,0.0424,0.0028,0.0385
330,Kucuk Akgol,Turkey,0.11,0.045,0.0,0.5276,0.0166,0.2324
292,Sepond_2,Sweden,0.11,0.0,0.0,0.0,0.0,0.0
306,Acarlar,Turkey,0.11,0.002,0.0,0.0,0.0,0.0
190,Put Van Drunen,Netherlands,0.11,0.0,0.0,0.0,0.0,0.0
161,Tovel,Italy,0.11,0.0,0.0,0.0,0.0,0.0
181,Empelse put,Netherlands,0.11,0.0,0.0,0.0,0.0,0.0
69,Fure,Denmark,0.11,0.061,0.0,0.0544,0.0067,0.067
19,Kouris Reservoir,Cyprus,0.11,0.0,0.0,0.0,0.0,0.0
277,Peneireiro,Portugal,0.11,0.002,0.0,0.0095,0.0,0.0
123,Kakskerranjarvi,Finland,0.12,0.0,0.0764,0.0,0.0024,0.0
3,Divonne,Switzerland,0.12,0.0,0.0,0.0,0.0017,0.0187
360,Yenicaga,Turkey,0.12,0.0,0.0,0.0,0.0028,0.0357
132,Volvi,Greece,0.12,0.0,0.0,0.0,0.0,0.0
197,Arungen,Norway,0.12,0.0,0.0,0.0,0.0,0.0
176,Udrija,Lithouania,0.12,2.965,7.5326,0.0,2.5595,0.0
339,Ladik,Turkey,0.12,0.0,0.0,0.0,0.0,0.0
196,Akersvannet,Norway,0.12,0.01,0.0,0.21,0.0184,0.6356
8,Lucerne,Switzerland,0.13,0.0,0.0,0.0,0.0,0.0
174,Sitvys,Lithouania,0.13,0.143,3.5201,0.0,0.5038,0.0233
365,Grasmere,UK,0.13,0.0,0.0,0.0,0.0,0.0
326,Golcuk,Turkey,0.13,0.0,0.0,0.0,0.0,0.0
84,Albufera de Valencia,Spain,0.13,0.002,0.0,0.0,0.0,0.053
129,Pavin,FR,0.13,0.0,0.0,0.0,0.0028,0.0
309,Akyatan,Turkey,0.14,0.0,0.0,0.0,0.0,0.0042
310,Aladag,Turkey,0.14,0.0,0.0,0.0311,0.0,0.0107
101,Laguna Escondida,Spain,0.14,0.0,0.0,0.0,0.0,0.0
228,Leknenskie,Poland,0.14,5.05,12.5029,0.0,4.0492,0.0
195,Wylerbergmeer,Netherlands,0.14,0.0,0.0,0.0,0.0,0.0
0,Mondsee,Austria,0.15,0.0,0.0,0.0,0.0,0.0
182,Ertveldplas,Netherlands,0.15,0.0,0.0,0.0,0.0,0.0
368,Windermere South Basin,UK,0.15,0.002,0.0,0.0,0.0062,0.0042
22,Brnenska prehrada,Czech Republic,0.15,0.006,0.0512,0.0686,0.0054,0.0228
205,Vansjo-Vanemfjorden,Norway,0.15,0.002,0.0336,0.1177,0.0058,0.0425
10,Ober ,Switzerland,0.15,0.0,0.0,0.0,0.0,0.0
297,Bled,Slovenia,0.16,0.0,0.0,0.0,0.0,0.0
296,Vombsjon,Sweden,0.16,0.023,0.0,0.1928,0.0098,0.0794
335,Karadere,Turkey,0.16,0.0,0.0,0.0,0.0,0.0
219,Ilinskie,Poland,0.16,0.004,0.3317,0.046,0.0452,0.0214
169,Mastis,Lithouania,0.16,0.041,0.1663,0.8026,0.0669,0.3715
193,Stooterplas,Netherlands,0.16,0.014,0.0,0.0372,0.0057,0.0435
202,Skulerudsjoen,Norway,0.17,0.002,0.0,0.0,0.0,0.007
194,Westbroekplas,Netherlands,0.17,0.002,0.095,0.0,0.0171,0.012
260,Tomaszne,Poland,0.17,0.061,3.5556,0.3153,0.2266,0.0716
298,Gajsevsko,Slovenia,0.17,0.0,0.0,0.0,0.0,0.0
347,Sabanozu,Turkey,0.18,0.0,0.0,0.0,0.0,0.0
151,Colgagh Lough,Ireland,0.18,0.0,0.0,0.0,0.0,0.0
291,Sepond_1,Sweden,0.18,0.0,0.0,0.0,0.0,0.0
200,Ostensjovannet,Norway,0.18,0.0,0.0,0.0,0.0,0.0
206,Bartezek,Poland,0.18,0.249,0.3001,0.0,0.1195,0.0
16,Akaki_Malounda,Cyprus,0.18,0.0,0.0,0.0,0.0,0.0
21,Boskovice,Czech Republic,0.19,0.005,0.0,0.026,0.0017,0.0113
20,Polemidia,Cyprus,0.19,0.0,0.0,0.0,0.0,0.0
199,Mjaer,Norway,0.2,0.0,0.0,0.0,0.0,0.0
331,Karaoren,Turkey,0.2,0.0,0.0,0.0,0.0,0.0
116,Laguna Sur,Spain,0.2,0.0,0.0,0.0,0.0,0.0
207,Biale Sosnowickie,Poland,0.21,0.066,0.0,2.017,0.0372,0.4328
29,Nove Mlyny II,Czech Republic,0.22,0.002,0.0,0.0,0.0,0.0191
270,Wolnica,Poland,0.22,0.002,0.0,0.0,0.0,0.0047
30,Novovesky,Czech Republic,0.23,0.0,0.0,0.0,0.0,0.0
94,Laguna Camarones,Spain,0.23,0.0,0.411,0.0,0.0,0.0
198,Hillestadvannet,Norway,0.24,0.374,0.2166,3.3088,0.1129,2.2819
17,Asprokremmos Reservoir,Cyprus,0.25,0.0,0.0,0.0,0.0,0.0
320,Caygoren,Turkey,0.25,0.0,0.0,0.0,0.0,0.0
104,El Foix,Spain,0.27,0.0,0.0,0.0,0.0,0.0
299,Ledavsko,Slovenia,0.27,0.002,0.0,0.0,0.0,0.0
201,Saebyvannet,Norway,0.27,0.0,0.0605,0.0,0.0042,0.0
180,Amstelveense,Netherlands,0.29,0.088,0.3829,1.9873,0.0569,1.4138
95,Laguna Canas,Spain,0.29,0.0,0.0,0.0,0.0,0.0
192,Sloterplas,Netherlands,0.29,0.001,0.0,0.0,0.0028,0.0066
189,Nieuwe Meer,Netherlands,0.3,0.0,0.0,0.0,0.0,0.0
28,Nesyt,Czech Republic,0.33,0.0,0.0,0.0,0.0151,0.0
346,Saraykoy,Turkey,0.37,0.0,0.0,0.0,0.0,0.0
188,Molenplas,Netherlands,0.41,0.0,0.0,0.0,0.0,0.0
300,Pernica,Slovenia,0.46,0.002,0.0,0.0,0.0,0.0
87,Azutan,Spain,0.5,0.0,0.0,0.0,0.0,0.0
258,Syczynskie,Poland,0.51,0.104,14.8923,0.5807,1.6059,0.0
317,Catalan,Turkey,0.54,0.0,0.0,0.0,0.0,0.0
187,Meerwijkplas,Netherlands,0.61,0.002,0.0,0.0,0.0028,0.0261
321,Eber,Turkey,0.64,0.002,0.0,0.0361,0.0,0.0125
112,Laguna Rio Viejo,Spain,0.82,0.0,0.0,0.0,0.0,0.0
185,Kinselmeer,Netherlands,0.87,1.37,9.0768,0.0,2.0126,0.1096
349,Seyhan,Turkey,1.03,0.002,0.0,0.0,0.0,0.0
