"Lake_ID","Date","LakeName","LabName","Country","Latitude","Longitude","Altitude_m","MaximumDepth_m","MeanDepth_m","SecchiDepth_m","SamplingDepth_m","ThermoclineDepth_m","SurfaceTemperature_C","EpilimneticTemperature_C","TP_mgL","TN_mgL","NO3NO2_mgL","NH3_mgL","PO4_ugL","Chlorophylla_ugL","Chlorophyllb_ugL","Zeaxanthin_ugL","Diadinoxanthin_ugL","Fucoxanthin_ugL","Diatoxanthin_ugL","Alloxanthin_ugL","Peridinin_ugL","Chlorophyllc2_ugL","Echinenone_ugL","Lutein_ugL","Violaxanthin_ugL","MC_YR_ugL","MC_dmRR_ugL","MC_RR_ugL","MC_dmLR_ugL","MC_LR_ugL","MC_LY_ugL","MC_LW_ugL","MC_LF_ugL","NOD_ugL","CYN_ugL","ATX_ugL"
"DK_FAR",2015-08-25,"Farum ","TWP-UOC","Denmark",55.80522222,12.36719444,20,15,6.3,1.2,10,14.24,19.7,19.1,0.03,0.5,NA,0.27,94.748,27.688,0,0,2.171,0,0,0.225,6.892,6.774,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
"DK_FUR",2015-08-26,"Fure","TWP-UOC","Denmark",55.81305556,12.44313889,24,38,13.5,1.05,2.5,NA,18.7,18.7,0.11,0.4,0.008,0.06,10.658,80.107,1.593,0,1.197,0,0,0.752,4.137,2.504,0,0,0,0.061,0,0.0544,0.0067,0.067,0,0,0,0,0,0
"DK_GYR",2015-08-12,"Gyrstinge ","TWP-UOC","Denmark",55.50308333,11.69452778,21,10,NA,0.7,5.5,4.22,21.8,21.03,NA,0.5,NA,0.09,5.028,28.982,1.348,0.93,0,0.981,0,0,0,0.442,0,0,0,0.015,0,0.185,0.0309,0.0682,0,0,0,0,0.1816,0.3476
"DK_HAR",2015-08-12,"Haraldsted ","TWP-UOC","Denmark",55.48463889,11.76422222,17,11,5,1.05,3.5,8.7,21.2,20.79,0.06,0.2,NA,0.02,10.26,32.318,1.657,0,0,0,0,0.28,0,0,0,0,0,0.034,0,0.6326,0.0147,0.3452,0,0,0,0,0.0109,0.2936
"DK_LYN",2015-08-31,"Lyngby ","TWP-UOC","Denmark",55.77472222,12.47911111,19,3,1.6,0.45,2.5,NA,19.5,19.28,0.02,0.6,NA,NA,7.161,112.608,10.719,17.76,0.983,4.066,0,0.493,0.912,1.579,0,0,0,0.025,0,0.0529,0.0392,0.0364,0,0,0,0,0.0133,0.1744
"DK_SLA",2015-08-26,"Slaen","TWP-UOC","Denmark",56.12325,9.615833333,24,12,7.3,4.1,9,6.89,17.2,15.71,0.09,NA,NA,NA,9.146,3.759,0.404,0,0,0,0,0,0.368,0.199,0,0,0,0.002,0,0,0.0066,0,0,0,0,0,0,0
"EE_ELI",2015-07-25,"Elistvere","EULS","Estonia",58.57116667,26.71133333,60,4,2,1.5,1.5,NA,19.99,19.64,0.07,0.7,0.012,0.04,NA,3.336,0,0.208,0,0.269,0,0.628,0,0.33,0,0,0.161,0.025,0,0.0169,0.0062,0.0695,0,0,0,0,0,0
"EE_KAI",2015-07-25,"Kaiavere","EULS","Estonia",58.607222,26.676111,51,5,2.8,0.7,4.4,1.23,20.73,19.61,NA,0.6,NA,0.02,NA,13.094,1.062,1.276,0.245,0.802,0,0.139,0.801,0.917,0,0,0,0.008,0,0.0774,0.0188,0.0405,0,0,0,0,0,0
"EE_KUR",2015-07-25,"Kuremaa","EULS","Estonia",58.718181,26.550592,83,13,5.9,2.5,9.7,0.78,19.48,18.75,NA,1,0.054,0.04,NA,5.048,0.602,0.313,0.114,0.671,0,0.558,0.384,0.745,0,0,0,0.014,0.0209,0.0295,0.0087,0.0361,0,0,0,0,0,0
"EE_LAM",2015-08-17,"Lammijarv","EULS","Estonia",58.12,27.575,NA,15,3.8,0.7,6.5,5.74,20.8,20.13,0.04,0.7,0.012,0.02,NA,52.256,5.306,8.808,0,10.91,0,1.562,0,0,8.359,0,3.52,0.018,0,0.2356,0.0257,0.1198,0,0,0,0,0,0.0194
"EE_PEI",2015-08-18,"Peipsi","EULS","Estonia",58.80944444,27.37166667,30,13,8.3,1.9,9.5,NA,19.53,19.35,0.03,NA,0.013,0.02,NA,18.486,14.508,1.56,0,2.029,0.427,0.701,0.086,0,0.293,0,0.19,0.017,0,0.1869,0.0221,0.1026,0,0,0,0,0,7e-04
"EE_RAI",2015-07-25,"Raigastvere","EULS","Estonia",58.588889,26.655,57,5,3.2,0.65,3.6,NA,20.05,19.5,0.04,0.4,0.01,0.03,NA,39.304,2.983,5.379,0.85,2.162,0,1.377,0,0,1.676,0,0.675,0.269,0,1.0175,0.0769,1.0917,0,0,0,0,0,0
"EE_SAA",2015-08-12,"Saadjarv","EULS","Estonia",58.53608333,26.64883333,54,25,8,5.17,22.5,3.72,23.32,20.69,0.07,0.7,0.012,0.02,NA,6.638,0.315,0,0,0.968,0,0.263,0,0,0,0,0.153,0.005,0,0,0.0054,0.0225,0,0,0,0,0,0
"EE_VER",2015-08-11,"Verevijarv","EULS","Estonia",58.23161111,26.40577778,54,13,3.5,1.21,9.7,3.8,24,15.52,NA,0.5,0.013,0.02,NA,28.927,3.377,2.169,0.836,1.562,0,0.684,2.321,2.014,0,0,0.756,0.002,0,0,0.0028,0.029,0,0,0,0,0,0
"EE_VOR",2015-08-18,"Vortsjarv","EULS","Estonia",58.21191667,26.10275,33,6,2.8,0.55,4.1,NA,19.4,19.32,0.05,0.7,NA,NA,NA,67.629,0,11.418,12.492,2.987,1.671,0.677,0.854,1.473,0,0,0.895,0.009,0,0.1194,0.0056,0.0333,0,0,0,0,0,0
"ES_ABE",2015-09-08,"Abegondo-Cecebre","UDC","Spain",43.28138889,-8.295,30,18,5.87,1.75,9,10.03,19.97,19.09,0.08,0.8,0.392,0.09,4.858,6.415,1.362,0.303,0,0.368,0,0,0,0.172,0,0,0,0.003,0,0.058,0.1422,3.6829,0.0355,0.446,NA,0,0,0
